unique_agent_id,canonical_id,record_id,agent_full_name,agent_mls_id,agent_state_license,agent_preferred_phone,agent_email,office_name,state,mls_source,true_agent_id,test_case,norm_phone,norm_license,norm_name,norm_email,norm_office,first_name,last_name,email_username,email_domain,null_count,records_merged
AGT00015,REC00017,REC00017,Jen Smith,MLS322955,CA-045093,2325237572,jsmith@coldwellbanker.com,Smith Realty,CA,NWMLS_CA,3f5b2c93,TC1_name_variation,2325237572.0,45093.0,jen smith,jsmith@coldwellbanker.com,smith,jen,smith,jsmith,coldwellbanker.com,0,1
AGT00016,REC00018,REC00018,Jenny Smith,MLS249811,45093,(232) 523-7572,jennys@realty.com,Smith Realty,CA,MATRIX_CA,3f5b2c93,TC1_name_variation,2325237572.0,45093.0,jenny smith,jennys@realty.com,smith,jenny,smith,jennys,realty.com,0,1
AGT00017,REC00019,REC00019,J. Smith,MLS881177,LIC-CA-45093,+12325237572,j_smith@kw.com,Smith Realty,CA,CRMLS_CA,3f5b2c93,TC1_name_variation,2325237572.0,45093.0,j smith,j_smith@kw.com,smith,j,smith,j_smith,kw.com,0,1
AGT00018,REC00020,REC00020,Michael Allen,MLS245051,LIC-FL-38746,7976086930,michael.allen@yahoo.com,Allen Realty,FL,MFRMLS_FL,320a2e9c,TC1_name_variation,7976086930.0,38746.0,michael allen,michael.allen@yahoo.com,allen,michael,allen,michael.allen,yahoo.com,0,1
AGT00019,REC00021,REC00021,Mike Allen,MLS892495,FL-38746,797-608-6930,mallen@outlook.com,Allen Realty,FL,MIAMI_FL,320a2e9c,TC1_name_variation,7976086930.0,38746.0,mike allen,mallen@outlook.com,allen,mike,allen,mallen,outlook.com,0,1
AGT00020,REC00022,REC00022,Mick Allen,MLS757924,FL38746,7976086930,micka@yahoo.com,Allen Realty,FL,BRIGHT_FL,320a2e9c,TC1_name_variation,7976086930.0,38746.0,mick allen,micka@yahoo.com,allen,mick,allen,micka,yahoo.com,0,1
AGT00021,REC00023,REC00023,M. Allen,MLS503457,FL-038746,+17976086930,m_allen@coldwellbanker.com,Allen Realty,FL,MFRMLS_FL,320a2e9c,TC1_name_variation,7976086930.0,38746.0,m allen,m_allen@coldwellbanker.com,allen,m,allen,m_allen,coldwellbanker.com,0,1
AGT00022,REC00024,REC00024,Patricia Thompson,MLS663054,99353,766.211.2876,patricia.thompson@yahoo.com,Thompson Realty,TX,NTREIS_TX,9cb8e085,TC1_name_variation,7662112876.0,99353.0,patricia thompson,patricia.thompson@yahoo.com,thompson,patricia,thompson,patricia.thompson,yahoo.com,0,1
AGT00023,REC00025,REC00025,Pat Thompson,MLS407757,TX-099353,(766) 211-2876,pthompson@coldwellbanker.com,Thompson Realty,TX,SABOR_TX,9cb8e085,TC1_name_variation,7662112876.0,99353.0,pat thompson,pthompson@coldwellbanker.com,thompson,pat,thompson,pthompson,coldwellbanker.com,0,1
AGT00024,REC00026,REC00026,Patty Thompson,MLS103402,99353,+17662112876,pattyt@outlook.com,Thompson Realty,TX,HAR_TX,9cb8e085,TC1_name_variation,7662112876.0,99353.0,patty thompson,pattyt@outlook.com,thompson,patty,thompson,pattyt,outlook.com,0,1
AGT00025,REC00027,REC00027,Tricia Thompson,MLS632342,TX-99353,766.211.2876,tricia_thompson@realty.com,Thompson Realty,TX,NTREIS_TX,9cb8e085,TC1_name_variation,7662112876.0,99353.0,tricia thompson,tricia_thompson@realty.com,thompson,tricia,thompson,tricia_thompson,realty.com,0,1
AGT00026,REC00028,REC00028,James Jones,MLS100599,LIC-TX-79514,980.365.9837,james.jones@coldwellbanker.com,Jones Realty,TX,NTREIS_TX,93f3392b,TC1_name_variation,9803659837.0,79514.0,james jones,james.jones@coldwellbanker.com,jones,james,jones,james.jones,coldwellbanker.com,0,1
AGT00027,REC00029,REC00029,Jim Jones,MLS120422,TX-79514,980.365.9837,jjones@kw.com,Jones Realty,TX,SABOR_TX,93f3392b,TC1_name_variation,9803659837.0,79514.0,jim jones,jjones@kw.com,jones,jim,jones,jjones,kw.com,0,1
AGT00028,REC00030,REC00030,Jimmy Jones,MLS351083,TX-79514,(980) 365-9837,jimmyj@yahoo.com,Jones Realty,TX,HAR_TX,93f3392b,TC1_name_variation,9803659837.0,79514.0,jimmy jones,jimmyj@yahoo.com,jones,jimmy,jones,jimmyj,yahoo.com,0,1
AGT00029,REC00031,REC00031,J. Jones,MLS189814,TX-079514,980-365-9837,j_jones@outlook.com,Jones Realty,TX,NTREIS_TX,93f3392b,TC1_name_variation,9803659837.0,79514.0,j jones,j_jones@outlook.com,jones,j,jones,j_jones,outlook.com,0,1
AGT00030,REC00032,REC00032,Linda Jones,MLS736059,FL-079163,(762) 369-5342,linda.jones@realty.com,Jones Realty,FL,MFRMLS_FL,c05b71f2,TC1_name_variation,7623695342.0,79163.0,linda jones,linda.jones@realty.com,jones,linda,jones,linda.jones,realty.com,0,1
AGT00031,REC00034,REC00033,Lin Jones,MLS847581,79163,7623695342,ljones@cbunited.com,Jones Realty,FL,MIAMI_FL,c05b71f2,TC1_name_variation,7623695342.0,79163.0,lin jones,ljones@cbunited.com,jones,lin,jones,ljones,cbunited.com,0,3
AGT00032,REC00036,REC00036,Barbara Johnson,MLS174441,NY-10942,(767) 435-4608,barbara.johnson@yahoo.com,Johnson Realty,NY,REBNY_NY,9f3737b4,TC1_name_variation,7674354608.0,10942.0,barbara johnson,barbara.johnson@yahoo.com,johnson,barbara,johnson,barbara.johnson,yahoo.com,0,1
AGT00033,REC00037,REC00037,Barb Johnson,MLS132938,10942,767-435-4608,bjohnson@realty.com,Johnson Realty,NY,MLSLI_NY,9f3737b4,TC1_name_variation,7674354608.0,10942.0,barb johnson,bjohnson@realty.com,johnson,barb,johnson,bjohnson,realty.com,0,1
AGT00034,REC00038,REC00038,Babs Johnson,MLS392004,NY-010942,(767) 435-4608,babsj@outlook.com,Johnson Realty,NY,NYSMLS_NY,9f3737b4,TC1_name_variation,7674354608.0,10942.0,babs johnson,babsj@outlook.com,johnson,babs,johnson,babsj,outlook.com,0,1
AGT00035,REC00039,REC00039,B. Johnson,MLS858490,LIC-NY-10942,+17674354608,b_johnson@coldwellbanker.com,Johnson Realty,NY,REBNY_NY,9f3737b4,TC1_name_variation,7674354608.0,10942.0,b johnson,b_johnson@coldwellbanker.com,johnson,b,johnson,b_johnson,coldwellbanker.com,0,1
AGT00036,REC00040,REC00040,William Martin,MLS864491,TX-22704,616-394-2545,william.martin@gmail.com,Martin Properties,TX,SABOR_TX,354453fa,TC2_multi_state,6163942545.0,22704.0,william martin,william.martin@gmail.com,martin properties,william,martin,william.martin,gmail.com,0,1
AGT00037,REC00041,REC00041,William Martin,MLS863587,22704,616-394-2545,william.martin@realty.com,Martin Properties,FL,MIAMI_FL,354453fa,TC2_multi_state,6163942545.0,22704.0,william martin,william.martin@realty.com,martin properties,william,martin,william.martin,realty.com,0,1
AGT00038,REC00042,REC00042,William Martin,MLS299448,LIC-CA-22704,6163942545,william.martin@outlook.com,Martin Properties,CA,CRMLS_CA,354453fa,TC2_multi_state,6163942545.0,22704.0,william martin,william.martin@outlook.com,martin properties,william,martin,william.martin,outlook.com,0,1
AGT00039,REC00043,REC00043,Patricia Garcia,MLS890170,NC19880,(485) 673-5092,patricia.garcia@remax.com,Garcia Properties,NC,CRMLS_NC,5ec5dc25,TC2_multi_state,4856735092.0,19880.0,patricia garcia,patricia.garcia@remax.com,garcia properties,patricia,garcia,patricia.garcia,remax.com,0,1
AGT00040,REC00044,REC00044,Patricia Garcia,MLS604740,NY19880,4856735092,patricia.garcia@gmail.com,Garcia Properties,NY,MLSLI_NY,5ec5dc25,TC2_multi_state,4856735092.0,19880.0,patricia garcia,patricia.garcia@gmail.com,garcia properties,patricia,garcia,patricia.garcia,gmail.com,0,1
AGT00041,REC00045,REC00045,Elizabeth Jackson,MLS411120,NY69638,202-599-5345,elizabeth.jackson@gmail.com,Jackson Properties,NY,REBNY_NY,18ed0618,TC2_multi_state,2025995345.0,69638.0,elizabeth jackson,elizabeth.jackson@gmail.com,jackson properties,elizabeth,jackson,elizabeth.jackson,gmail.com,0,1
AGT00042,REC00046,REC00046,Elizabeth Jackson,MLS428838,FL-69638,202-599-5345,elizabeth.jackson@coldwellbanker.com,Jackson Properties,FL,BRIGHT_FL,18ed0618,TC2_multi_state,2025995345.0,69638.0,elizabeth jackson,elizabeth.jackson@coldwellbanker.com,jackson properties,elizabeth,jackson,elizabeth.jackson,coldwellbanker.com,0,1
AGT00043,REC00047,REC00047,Elizabeth Jackson,MLS994141,LIC-NC-69638,(202) 599-5345,elizabeth.jackson@gmail.com,Jackson Properties,NC,FLEX_NC,18ed0618,TC2_multi_state,2025995345.0,69638.0,elizabeth jackson,elizabeth.jackson@gmail.com,jackson properties,elizabeth,jackson,elizabeth.jackson,gmail.com,0,1
AGT00044,REC00048,REC00048,Linda Williams,MLS141672,LIC-NC-98501,390-270-2113,linda.williams@remax.com,Williams Properties,NC,FLEX_NC,147086bd,TC2_multi_state,3902702113.0,98501.0,linda williams,linda.williams@remax.com,williams properties,linda,williams,linda.williams,remax.com,0,1
AGT00045,REC00049,REC00049,Linda Williams,MLS712024,LIC-CA-98501,+13902702113,linda.williams@cbunited.com,Williams Properties,CA,MATRIX_CA,147086bd,TC2_multi_state,3902702113.0,98501.0,linda williams,linda.williams@cbunited.com,williams properties,linda,williams,linda.williams,cbunited.com,0,1
AGT00046,REC00050,REC00050,Linda Williams,MLS314181,98501,(390) 270-2113,linda.williams@kw.com,Williams Properties,TX,SABOR_TX,147086bd,TC2_multi_state,3902702113.0,98501.0,linda williams,linda.williams@kw.com,williams properties,linda,williams,linda.williams,kw.com,0,1
AGT00047,REC00051,REC00051,Patricia Jones,MLS690341,NC-69929,887-860-5915,patricia.jones@realty.com,Jones Properties,NC,FLEX_NC,9da901bf,TC2_multi_state,8878605915.0,69929.0,patricia jones,patricia.jones@realty.com,jones properties,patricia,jones,patricia.jones,realty.com,0,1
AGT00048,REC00052,REC00052,Patricia Jones,MLS378082,FL69929,887.860.5915,patricia.jones@yahoo.com,Jones Properties,FL,BRIGHT_FL,9da901bf,TC2_multi_state,8878605915.0,69929.0,patricia jones,patricia.jones@yahoo.com,jones properties,patricia,jones,patricia.jones,yahoo.com,0,1
AGT00049,REC00053,REC00053,William Thomas,MLS413921,NY-81200,(491) 361-8179,william.thomas@kw.com,Thomas Properties,NY,NYSMLS_NY,481d439d,TC2_multi_state,4913618179.0,81200.0,william thomas,william.thomas@kw.com,thomas properties,william,thomas,william.thomas,kw.com,0,1
AGT00050,REC00054,REC00054,William Thomas,MLS212235,LIC-NC-81200,(491) 361-8179,william.thomas@kw.com,Thomas Properties,NC,CRMLS_NC,481d439d,TC2_multi_state,4913618179.0,81200.0,william thomas,william.thomas@kw.com,thomas properties,william,thomas,william.thomas,kw.com,0,1
AGT00051,REC00055,REC00055,William Thomas,MLS734210,TX81200,491.361.8179,william.thomas@realty.com,Thomas Properties,TX,SABOR_TX,481d439d,TC2_multi_state,4913618179.0,81200.0,william thomas,william.thomas@realty.com,thomas properties,william,thomas,william.thomas,realty.com,0,1
AGT00052,REC00057,REC00057,Jennifer Thompson,MLS563298,LIC-NC-22097,7004571832,jennifer.thompson@gmail.com,Thompson Properties,NC,FLEX_NC,890a2409,TC2_multi_state,7004571832.0,22097.0,jennifer thompson,jennifer.thompson@gmail.com,thompson properties,jennifer,thompson,jennifer.thompson,gmail.com,0,1
AGT00053,REC00058,REC00056,Jennifer Thompson,MLS908577,TX22097,700.457.1832,jennifer.thompson@outlook.com,Thompson Properties,TX,SABOR_TX,890a2409,TC2_multi_state,7004571832.0,22097.0,jennifer thompson,jennifer.thompson@outlook.com,thompson properties,jennifer,thompson,jennifer.thompson,outlook.com,0,2
AGT00054,REC00059,REC00059,Michael Allen,MLS815198,TX26704,765-351-8041,michael.allen@cbunited.com,Allen Properties,TX,NTREIS_TX,dc1dfd2b,TC2_multi_state,7653518041.0,26704.0,michael allen,michael.allen@cbunited.com,allen properties,michael,allen,michael.allen,cbunited.com,0,1
AGT00055,REC00060,REC00060,Michael Allen,MLS526117,LIC-NC-26704,(765) 351-8041,michael.allen@realty.com,Allen Properties,NC,FLEX_NC,dc1dfd2b,TC2_multi_state,7653518041.0,26704.0,michael allen,michael.allen@realty.com,allen properties,michael,allen,michael.allen,realty.com,0,1
AGT00056,REC00061,REC00061,Michael Allen,MLS938742,CA26704,7653518041,michael.allen@gmail.com,Allen Properties,CA,CRMLS_CA,dc1dfd2b,TC2_multi_state,7653518041.0,26704.0,michael allen,michael.allen@gmail.com,allen properties,michael,allen,michael.allen,gmail.com,0,1
AGT00057,REC00062,REC00062,Elizabeth Anderson,MLS333238,FL44970,6218855065,elizabeth.anderson@cbunited.com,Anderson Properties,FL,MIAMI_FL,9167a920,TC2_multi_state,6218855065.0,44970.0,elizabeth anderson,elizabeth.anderson@cbunited.com,anderson properties,elizabeth,anderson,elizabeth.anderson,cbunited.com,0,1
AGT00058,REC00063,REC00063,Elizabeth Anderson,MLS960394,NC44970,(621) 885-5065,elizabeth.anderson@gmail.com,Anderson Properties,NC,NWMLS_NC,9167a920,TC2_multi_state,6218855065.0,44970.0,elizabeth anderson,elizabeth.anderson@gmail.com,anderson properties,elizabeth,anderson,elizabeth.anderson,gmail.com,0,1
AGT00059,REC00064,REC00064,William Jackson,MLS373903,NY46585,+15364852137,william.jackson@kw.com,Jackson Properties,NY,REBNY_NY,427e77e7,TC2_multi_state,5364852137.0,46585.0,william jackson,william.jackson@kw.com,jackson properties,william,jackson,william.jackson,kw.com,0,1
AGT00060,REC00065,REC00065,William Jackson,MLS213668,LIC-TX-46585,5364852137,william.jackson@cbunited.com,Jackson Properties,TX,NTREIS_TX,427e77e7,TC2_multi_state,5364852137.0,46585.0,william jackson,william.jackson@cbunited.com,jackson properties,william,jackson,william.jackson,cbunited.com,0,1
AGT00061,REC00066,REC00066,William Jackson,MLS924629,46585,5364852137,william.jackson@yahoo.com,Jackson Properties,NC,FLEX_NC,427e77e7,TC2_multi_state,5364852137.0,46585.0,william jackson,william.jackson@yahoo.com,jackson properties,william,jackson,william.jackson,yahoo.com,0,1
AGT00062,REC00067,REC00067,Patricia Allen,MLS796503,67154,+13944601727,patricia.allen@cbunited.com,Allen Properties,TX,NTREIS_TX,ea291da4,TC2_multi_state,3944601727.0,67154.0,patricia allen,patricia.allen@cbunited.com,allen properties,patricia,allen,patricia.allen,cbunited.com,0,1
AGT00063,REC00068,REC00068,Patricia Allen,MLS989208,FL-67154,394.460.1727,patricia.allen@kw.com,Allen Properties,FL,BRIGHT_FL,ea291da4,TC2_multi_state,3944601727.0,67154.0,patricia allen,patricia.allen@kw.com,allen properties,patricia,allen,patricia.allen,kw.com,0,1
AGT00064,REC00069,REC00069,Patricia Anderson,MLS884475,FL82667,+16129135844,patricia.anderson@kw.com,Anderson Properties,FL,BRIGHT_FL,045e1c8f,TC2_multi_state,6129135844.0,82667.0,patricia anderson,patricia.anderson@kw.com,anderson properties,patricia,anderson,patricia.anderson,kw.com,0,1
AGT00065,REC00070,REC00070,Patricia Anderson,MLS674553,NY-82667,612.913.5844,patricia.anderson@kw.com,Anderson Properties,NY,MLSLI_NY,045e1c8f,TC2_multi_state,6129135844.0,82667.0,patricia anderson,patricia.anderson@kw.com,anderson properties,patricia,anderson,patricia.anderson,kw.com,0,1
AGT00066,REC00071,REC00071,William White,MLS790855,CA-70946,793.821.6279,william.white@cbunited.com,White Properties,CA,CRMLS_CA,73d3c316,TC2_multi_state,7938216279.0,70946.0,william white,william.white@cbunited.com,white properties,william,white,william.white,cbunited.com,0,1
AGT00067,REC00072,REC00072,William White,MLS958179,FL70946,793.821.6279,william.white@realty.com,White Properties,FL,MFRMLS_FL,73d3c316,TC2_multi_state,7938216279.0,70946.0,william white,william.white@realty.com,white properties,william,white,william.white,realty.com,0,1
AGT00068,REC00073,REC00073,William White,MLS254511,TX-70946,793-821-6279,william.white@realty.com,White Properties,TX,NTREIS_TX,73d3c316,TC2_multi_state,7938216279.0,70946.0,william white,william.white@realty.com,white properties,william,white,william.white,realty.com,0,1
AGT00069,REC00074,REC00074,James King,MLS355836,FL64321,986-274-8461,james.king@yahoo.com,King Properties,FL,MIAMI_FL,a370ca94,TC2_multi_state,9862748461.0,64321.0,james king,james.king@yahoo.com,king properties,james,king,james.king,yahoo.com,0,1
AGT00070,REC00075,REC00075,James King,MLS329471,NY64321,+19862748461,james.king@coldwellbanker.com,King Properties,NY,MLSLI_NY,a370ca94,TC2_multi_state,9862748461.0,64321.0,james king,james.king@coldwellbanker.com,king properties,james,king,james.king,coldwellbanker.com,0,1
AGT00071,REC00077,REC00077,Thomas Young,MLS879779,TX-027477,4553248478,thomas.young@kw.com,Young Properties,TX,NTREIS_TX,6a742391,TC2_multi_state,4553248478.0,27477.0,thomas young,thomas.young@kw.com,young properties,thomas,young,thomas.young,kw.com,0,1
AGT00072,REC00078,REC00076,Thomas Young,MLS954596,LIC-NY-27477,4553248478,thomas.young@coldwellbanker.com,Young Properties,NY,NYSMLS_NY,6a742391,TC2_multi_state,4553248478.0,27477.0,thomas young,thomas.young@coldwellbanker.com,young properties,thomas,young,thomas.young,coldwellbanker.com,0,2
AGT00073,REC00079,REC00079,William Wilson,MLS342495,TX-040735,(650) 279-5681,william.wilson@realty.com,Wilson Properties,TX,NTREIS_TX,09b4f7da,TC2_multi_state,6502795681.0,40735.0,william wilson,william.wilson@realty.com,wilson properties,william,wilson,william.wilson,realty.com,0,1
AGT00074,REC00080,REC00080,William Wilson,MLS535020,NC-040735,650.279.5681,william.wilson@coldwellbanker.com,Wilson Properties,NC,CRMLS_NC,09b4f7da,TC2_multi_state,6502795681.0,40735.0,william wilson,william.wilson@coldwellbanker.com,wilson properties,william,wilson,william.wilson,coldwellbanker.com,0,1
AGT00075,REC00081,REC00081,William Wilson,MLS165290,FL40735,6502795681,william.wilson@remax.com,Wilson Properties,FL,MIAMI_FL,09b4f7da,TC2_multi_state,6502795681.0,40735.0,william wilson,william.wilson@remax.com,wilson properties,william,wilson,william.wilson,remax.com,0,1
AGT00076,REC00082,REC00082,Barbara Johnson,MLS883826,LIC-TX-72518,+19837897232,barbara.johnson@realty.com,Johnson Properties,TX,HAR_TX,1976f586,TC2_multi_state,9837897232.0,72518.0,barbara johnson,barbara.johnson@realty.com,johnson properties,barbara,johnson,barbara.johnson,realty.com,0,1
AGT00077,REC00083,REC00083,Barbara Johnson,MLS330080,72518,9837897232,barbara.johnson@coldwellbanker.com,Johnson Properties,FL,MIAMI_FL,1976f586,TC2_multi_state,9837897232.0,72518.0,barbara johnson,barbara.johnson@coldwellbanker.com,johnson properties,barbara,johnson,barbara.johnson,coldwellbanker.com,0,1
AGT00078,REC00084,REC00084,Barbara Johnson,MLS507746,72518,9837897232,barbara.johnson@outlook.com,Johnson Properties,CA,CRMLS_CA,1976f586,TC2_multi_state,9837897232.0,72518.0,barbara johnson,barbara.johnson@outlook.com,johnson properties,barbara,johnson,barbara.johnson,outlook.com,0,1
AGT00079,REC00085,REC00085,James Jones,MLS584125,NC61645,837-746-1441,james.jones@kw.com,Jones Properties,NC,CRMLS_NC,56254e57,TC2_multi_state,8377461441.0,61645.0,james jones,james.jones@kw.com,jones properties,james,jones,james.jones,kw.com,0,1
AGT00080,REC00086,REC00086,James Jones,MLS443254,FL61645,8377461441,james.jones@cbunited.com,Jones Properties,FL,MIAMI_FL,56254e57,TC2_multi_state,8377461441.0,61645.0,james jones,james.jones@cbunited.com,jones properties,james,jones,james.jones,cbunited.com,0,1
AGT00081,REC00087,REC00087,Michael Jackson,MLS665621,FL-43065,484.970.7906,michael.jackson@realty.com,Jackson Properties,FL,BRIGHT_FL,94a2cbb0,TC2_multi_state,4849707906.0,43065.0,michael jackson,michael.jackson@realty.com,jackson properties,michael,jackson,michael.jackson,realty.com,0,1
AGT00082,REC00088,REC00088,Michael Jackson,MLS171951,NC-43065,484-970-7906,michael.jackson@realty.com,Jackson Properties,NC,FLEX_NC,94a2cbb0,TC2_multi_state,4849707906.0,43065.0,michael jackson,michael.jackson@realty.com,jackson properties,michael,jackson,michael.jackson,realty.com,0,1
AGT00083,REC00089,REC00089,William Johnson,MLS833442,26544,836.356.4908,william.johnson@outlook.com,Johnson Properties,NY,MLSLI_NY,fbcca6e5,TC2_multi_state,8363564908.0,26544.0,william johnson,william.johnson@outlook.com,johnson properties,william,johnson,william.johnson,outlook.com,0,1
AGT00084,REC00090,REC00090,William Johnson,MLS736745,CA-26544,(836) 356-4908,william.johnson@kw.com,Johnson Properties,CA,MATRIX_CA,fbcca6e5,TC2_multi_state,8363564908.0,26544.0,william johnson,william.johnson@kw.com,johnson properties,william,johnson,william.johnson,kw.com,0,1
AGT00085,REC00092,REC00092,Robert Allen,MLS991597,LIC-NC-61990,304-913-5941,robert.allen@gmail.com,Allen Realty Group,NC,NWMLS_NC,95685d55,TC3_phone_changed,3049135941.0,61990.0,robert allen,robert.allen@gmail.com,allen group,robert,allen,robert.allen,gmail.com,0,2
AGT00086,REC00094,REC00093,Michael Young,MLS778998,76317,877-579-2129,michael.young@remax.com,Young Realty Group,FL,MFRMLS_FL,c633550d,TC3_phone_changed,8775792129.0,76317.0,michael young,michael.young@remax.com,young group,michael,young,michael.young,remax.com,0,2
AGT00087,REC00096,REC00096,Elizabeth Thompson,MLS572700,TX70931,4512885569,elizabeth.thompson@remax.com,Thompson Realty Group,TX,SABOR_TX,b42c48dd,TC3_phone_changed,4512885569.0,70931.0,elizabeth thompson,elizabeth.thompson@remax.com,thompson group,elizabeth,thompson,elizabeth.thompson,remax.com,0,2
AGT00088,REC00098,REC00097,Michael Johnson,MLS472060,37802,532.386.8988,michael.johnson@kw.com,Johnson Realty Group,FL,MFRMLS_FL,f86fd551,TC3_phone_changed,5323868988.0,37802.0,michael johnson,michael.johnson@kw.com,johnson group,michael,johnson,michael.johnson,kw.com,0,2
AGT00089,REC00100,REC00099,Robert Davis,MLS777278,FL-072402,7007684937,robert.davis@gmail.com,Davis Realty Group,FL,MFRMLS_FL,69958d9c,TC3_phone_changed,7007684937.0,72402.0,robert davis,robert.davis@gmail.com,davis group,robert,davis,robert.davis,gmail.com,0,2
AGT00090,REC00102,REC00101,James Young,MLS836996,NY-056112,552.635.6419,james.young@kw.com,Young Realty Group,NY,REBNY_NY,6fd09bcc,TC3_phone_changed,5526356419.0,56112.0,james young,james.young@kw.com,young group,james,young,james.young,kw.com,0,2
AGT00091,REC00104,REC00104,Linda Garcia,MLS338533,46241,(302) 398-5853,linda.garcia@kw.com,Garcia Realty Group,CA,NWMLS_CA,674ba110,TC3_phone_changed,3023985853.0,46241.0,linda garcia,linda.garcia@kw.com,garcia group,linda,garcia,linda.garcia,kw.com,0,2
AGT00092,REC00106,REC00106,Thomas Young,MLS592198,CA-082529,2127875658,thomas.young@cbunited.com,Young Realty Group,CA,NWMLS_CA,d4dc737b,TC3_phone_changed,2127875658.0,82529.0,thomas young,thomas.young@cbunited.com,young group,thomas,young,thomas.young,cbunited.com,0,2
